text_nonstop,text_lemma,text,length_text_nonstop,length_text_lemma,length_text,label,count_word_text_nonstop,count_word_text_lemma,count_word_text
nao deixe lembrancas saudades minarem enfrente ouca musicas linda msm conhece the corrs,nao deixar lembranco saudade minar enfrente ouca musico linda msm conhece the corrs,nomeusuario nao deixe as lembrancas e saudades te minarem enfrente ouca musicas essa e linda msm conhece the corrs,87,83,114,0,18,18,18
ouvindo musica preciso vc excelente linda foda pq to separando pqp,ouvir musica preciso vc excelente linda foda pq to separar pqp,nomeusuario ouvindo a musica preciso de vc excelente linda foda pq to separando pqp,66,62,83,0,19,19,19
cedemos encanto caimos boca caro,cedemo encanto caimos boca caro,nomeusuario cedemos ao encanto e caimos de boca meu caro,32,31,56,0,13,13,14
perfume pra mao jovem amantepra mao cappice,perfume pra mao jovem amantepra mao cappice,nomeusuario perfume pra mao jovem amantepra mao cappice,43,43,55,1,15,15,16
estimo foda sera profissional,estimo foda sero profissional,nomeusuario estimo que se foda sera mais profissional,29,29,53,1,14,14,16
bom dia sapatao vida,bom dia sapatao vida,nomeusuario bom dia sapatao da minha vida,20,20,41,1,11,11,16
falei desde ontem kkkk,falar desde ontem kkkk,nomeusuario falei isso desde ontem kkkk paginaweb,22,22,49,0,13,13,19
n ta errado epesquisa gente burra mulher trabalha menos homem,n ta errar epesquisar gente burrar mulher trabalhar pouco homem,nomeusuario nomeusuario isso n ta errado mas epesquisa de gente burra a mulher trabalha menos que o homem,61,63,105,1,18,18,18
tal linha bones,tal linha bone,nomeusuario nomeusuario e que tal uma linha de bones paginaweb,15,14,62,0,11,10,19
93 0911 jhu bom viado lindo 93 0911 dj luizinho bom dia sapatao gostoza,93 0911 jhu bom viar lir 93 0911 dj luizinho bom dia sapatao gostoza,93 0911 jhu bom viado mais lindo 93 0911 dj luizinho bom dia sapatao mais gostoza,71,68,81,1,22,23,22
enem questao 1 oooooooooooooooooooooooooooooooooooooooooooooo sometimes vida gado ana julia pa gangnam style,enem questao 1 oooooooooooooooooooooooooooooooooooooooooooooo sometime vida gado ano julio pa gangnar style,enem questao 1 oooooooooooooooooooooooooooooooooooooooooooooo sometimes vida de gado ana julia pa gangnam style,108,107,111,0,19,20,19
extra imagine branco fazendo muculmano noticia pais inteiro,extra imagine branco fazer muculmano noticio pais inteiro,extra imagine se fosse um branco fazendo isso com um muculmano seria noticia no pais inteiro paginaweb,59,57,102,1,20,19,21
extraoficial terrorista louvre egipcio 29 anos chegou franca mes passado equipe,extraoficial terrorista louvre egipcio 29 ano chegar franca mes passado equipe,extraoficial o terrorista do louvre e um egipcio de 29 anos que chegou na franca mes passado equipe paginaweb,79,78,109,0,23,23,25
futebol escolinha adc santana adc pedreira copa rio branco amparo,futebol escolinha adc santano adc pedreiro copa rio branco amparo,futebol escolinha da adc santana adc e pedreira na copa rio branco em amparo paginaweb,65,65,86,0,18,18,20
1840 max vai tomar cu entao 1840 max gorda feia 1840 max amor voce 1841 leticia gorda maxwell,1840 max ir tomar cu entao 1840 max gordar feio 1840 max amor voce 1841 leticia gordar maxwell,1840 max vai tomar no teu cu entao 1840 max sua gorda feia 1840 max meu amor por voce 1841 leticia eu sou gorda maxwell,93,94,119,1,22,22,24
la casa,l casa,e la em casa paginaweb,7,6,22,0,5,5,13
deixa adivinharpessima relacao pai gorda feia sequer assediada alguemacho dois hein,deixar adivinharpessima relacao pai gordar feio sequer assediar alguemachar dois hein,nomeusuario nomeusuario deixa eu adivinharpessima relacao com o pai gorda feia sequer assediada por alguemacho que os dois hein,83,85,127,1,20,20,20
aaaaaaa quero falar trabalho sobre refugiados nao sei vou conseguir,aaaaaaa querer falar trabalho sobre refugiado nao saber ir conseguir,aaaaaaa eu quero falar no meu trabalho sobre refugiados mas nao sei se vou conseguir,67,68,84,0,19,18,20
aaaaaa turma 9 homens prof fala cabo sapatao conector femea femea todo mundo olha pra mim,aaaaaar turma 9 homem prof falar cabo sapatao conector femea femea todo mundo olhar pra eu,aaaaaa turma de 9 homens e eu o prof fala de cabo sapatao conector femea femea e todo mundo olha pra mim,89,90,104,1,19,18,19
afronta portugueses nao pnr portugal imigracao,afronta português nao pnr portugal imigracao,a afronta aos portugueses nao para paginaweb pnr portugal imigracao paginaweb,46,44,77,0,16,16,18
agencia livead sao paulo adquiriu 40 exemplares livro meuamigosecreto feminismo alem redes,agencia livead sao paulo adquirir 40 exemplar livro meuamigosecreto feminismo aler rede,a agencia livead sao paulo adquiriu 40 exemplares do livro meuamigosecreto feminismo alem das redes para paginaweb,90,87,114,0,22,22,24
alemanha tornou sentir beneficios imigrantes invasao islamica,alemanha tornar sentir beneficio imigrante invasao islamico,a alemanha tornou a sentir os beneficios dos imigrantes da invasao islamica paginaweb,61,59,85,1,18,17,21
1a mao dia namoradosa 2a calha dia mulher benficadortmund criado testar relacionamentos benfiquistas,1a mao dia namoradoso 2a calho dia mulher benficadortmund criar testar relacionamento benfiquista,a 1a mao foi no dia dos namoradosa 2a calha no dia da mulher o benficadortmund foi criado para testar os relacionamentos dos benfiquistas,100,97,137,0,20,20,21
ameaca terrorismo radical islamico bem real veja acontece europa oriente medio tribunais,ameacar terrorismo radical islamico bem real ver acontecer europa oriente medio tribunal,a ameaca do terrorismo radical islamico e bem real veja o que acontece na europa e no oriente medio os tribunais paginaweb,88,88,122,0,18,17,21
ampla maioria sao uns retardados so falam merda so ganham fama porque jovens sao debeis mentais,amplar maioria sao um retardar so falar merda so ganhar fama porque jovem sao debel mental,a ampla maioria sao uns retardados so falam merda e so ganham fama porque os jovens sao como eles debeis mentais paginaweb,95,90,122,1,21,21,23
ora bem ja perder linha verniz tolerantes acaba sempre estalar,ora bem ja perder linha verniz tolerante acabar sempre estalar,nomeusuario ora bem ja esta a perder a linha o verniz dos tolerantes acaba sempre por estalar,62,62,93,1,19,19,20
atencao finalmente voltada infiltrados desocupados serao pegos,atencao finalmente voltar infiltrar desocupar serao pego,a atencao finalmente esta voltada aos infiltrados desocupados eles serao pegos paginaweb,62,56,88,0,18,18,20
avaliar quantidade malta conhecida morreu 2016 in memoriam deste ano coisa durar umas 9 horitas boa oscars,avaliar quantidade malta conhecido morrer 2016 in memorer de este ano coisa durar um 9 horita bom oscar,a avaliar pela quantidade de malta conhecida que morreu em 2016 o in memoriam deste ano e coisa para durar umas 9 horitas na boa oscars,106,103,135,1,23,23,24
abaixo apenas alguns exemplos manifestacao favor direito orgulho hetero,abaixo apenas algum exemplo manifestacao favor direito orgulho hetero,abaixo apenas alguns exemplos de manifestacao a favor do direito ao orgulho hetero,71,69,82,0,21,21,21
bazofia jesus tao grande nao assumir erros ate abafa palhinha,bazofia jesus tao grande nao assumir erro ate abafar palhinha,a bazofia de jesus e tao grande que para nao assumir os seus erros ate abafa o palhinha,61,61,87,1,20,20,21
abdnsndnns vai sair burca pra nao mostrar cara nao quero ninguem encima,abdnsndnns ir sair burca pra nao mostrar cara nao querer ninguem encimo,abdnsndnns ela vai sair de burca pra nao mostrar a cara nao quero ninguem encima dela paginaweb,71,71,95,1,18,17,20
aberracao adulto impor criancas flacida relacao ideologia genero nada q parece naoaideologiadegenero,aberracao adultor impor crianca flacir relacao ideologia genero nada q parecer naoaideologiadegenero,aberracao e um adulto impor as criancas a flacida relacao da ideologia de genero nada e o q parece ser naoaideologiadegenero,100,100,124,1,19,18,19
abertas inscricoes iii festival danca acontecera abril estacao cabo branco,aberto inscricoes iii festival dancar acontecerar abril estacao cabo branco,abertas as inscricoes iii festival de danca que acontecera em abril na estacao cabo branco paginaweb,74,75,100,0,15,15,21
abismo desigualdade injustica renovarportugal portugal,abismo desigualdade injustico renovarportugal portugal,abismo da desigualdade e injustica nomeusuario paginaweb renovarportugal portugal,54,54,81,0,19,19,20
bomba encontrada nazare logo detonada ja panama quase ha ano expresso espera brigada minas armadilhas,bomba encontrar nazare logo detonar ja panamar quase ha ano expresso esperar brigar mina armadilho,a bomba encontrada na nazare foi logo detonada ja a do panama esta quase ha um ano no expresso a espera da brigada de minas e armadilhas,101,98,136,0,22,22,23
aborto crime repugnante contra vida tao fragil indefesa,aborto crime repugnante contra vida tao fragil indefeso,aborto e crime repugnante contra uma vida tao fragil e indefesa paginaweb,55,55,73,0,19,19,20
abri janela tava gorda apartamento frente olhando pra baixo chorando acho caiu empadinha,abri janela tar gordar apartamento frente olhar pra baixo chorar achar cair empadinha,abri a janela tava uma gorda no apartamento da frente olhando pra baixo e chorando acho que caiu a empadinha dela,88,85,113,1,21,19,22
heueheueheu fiquei achando branco arroz tb nao faco ideia olha gosto acai,heueheueheu fiquei achar branco arroz tb nao faco ideia olhar gosto acair,nomeusuario heueheueheu eu fiquei achando que o branco era arroz tb mas nao faco ideia e olha que gosto de acai,73,73,111,0,19,19,20
burra mulher esqueceu celular onibus ta chorando aqui busao queria nao rir,burrar mulher esquecer celular onibu ta chorar aqui busao querer nao rir,a burra da mulher esqueceu o celular no onibus e ta chorando aqui no busao queria nao rir,74,72,89,1,17,16,17
acaba chegar redacao radio angola seguinte informacao pedro gonga ja liberdade nao,acabar chegar redacao radio angola seguinte informacao pedro gonga ja liberdade nao,acaba de chegar a redacao da radio angola a seguinte informacao pedro gonga ja estou em liberdade mas nao foi paginaweb,82,83,119,0,20,20,21
acabamos adicionar data tour overdose tourette 11 fev covilha bilhetes aqui,acabamos adicionar data tour overdose tourette 11 fev covilha bilhete aqui,acabamos de adicionar mais uma data a tour de overdose de tourette 11 fev covilha bilhetes aqui paginaweb,75,74,105,0,20,20,23
acabamos adicionar data tour overdose tourette 24 fev ericeira bilhetes fnac aqui,acabamos adicionar data tour overdose tourette 24 fev ericeiro bilhete fnac aqui,acabamos de adicionar mais uma data a tour overdose de tourette 24 fev ericeira bilhetes na fnac e aqui paginaweb,81,80,113,0,21,21,24
acabei comemorar dia internacional mulher lavando louca diadamulher,acabar comemorar dia internacional mulher lavar louco diadamulher,acabei de comemorar o dia internacional da mulher lavando a louca diadamulher,67,65,77,0,16,16,16
acabei fazer casos cunhada vascarpim ferias estao rendendo arte rsss,acabar fazer caso cunhar vascarpim ferio estao render arte rsss,acabei de fazer esses casos para minha cunhada vascarpim minhas ferias estao rendendo arte rsss paginaweb,68,63,105,0,19,19,21
acabei ouvir cigana dizer q chineses sao povo sujo higiene q vive dorme qualquer lado cliche morreu hj 16h09,acabar ouvir cigana dizer q chinês sao povo sujo higienar q viver dorme qualquer lado cliche morrer hj 16h09,acabei de ouvir uma cigana dizer q os chineses sao um povo sujo e sem higiene q vive e dorme em qualquer lado o cliche morreu hj as 16h09,108,108,137,1,25,26,25
acabei ouvir casal rastas dizer pessoas passam dizem cheiramos malpffffelas cheiram champo,acabar ouvir casal rasta dizer pessoa passar dizer cheiramo malpffffela cheir champo,acabei de ouvir um casal com rastas dizer isto as pessoas passam por nos e dizem que cheiramos malpffffelas e que cheiram a champo,90,84,130,0,19,19,21
acabei pagar 20 reais carregador pq esqueci ja comecando dia sentindo mulher burra brasil,acabar pagar 20 real carregador pq esqueci ja comecar dia sentir mulher burrar brasil,acabei de pagar 20 reais em um carregador pq esqueci o meu ja comecando o dia se sentindo a mulher mais burra do brasil,89,85,119,1,22,22,22
acabo nomear general hr mcmaster conselheiro seguranca nacional,acaber nomear general hr mcmaster conselheiro seguranca nacional,acabo de nomear o general hr mcmaster como conselheiro de seguranca nacional paginaweb,63,64,86,0,16,16,19
cada feliz dia mulher menos pra feminista vejo quao burra sociedade,cada feliz dia mulher menos pra feminista vejo quao burra sociedade,a cada feliz dia da mulher menos pra feminista eu vejo o quao burra e a sociedade,67,67,81,1,22,22,22
cadeira copo certamente lula,cadeira copo certamente lula,a cadeira com o copo certamente e do lula paginaweb,28,28,51,1,14,14,17
caminho base militar andrews primeiro ministro shinzo hoje cedo,caminho base militar andrews primeiro ministro shinzo hoje cedo,a caminho da base militar andrews com o primeiro ministro shinzo hoje mais cedo paginaweb,63,63,89,0,19,19,20
campanha continuaeducacaosemideologiadegenero acesse adquira dois livros,campanha continuaeducacaosemideologiadegenero acer adquira dois livro,a campanha continuaeducacaosemideologiadegenero paginaweb acesse e adquira dois livros de paginaweb,72,69,99,0,19,19,21
cara feia vivian gorda roberta sao melhores coisas momento eh bbb17,cara feio vivian gordar roberta sao bom coisa momento eh bbb17,a cara da feia da vivian e da gorda da roberta sao as melhores coisas esse momento eh meu bbb17,67,62,95,1,20,19,21
cara gorda feia roberta bbb17,car gordo feio roberta bbb17,a cara da gorda feia da roberta bbb17,29,28,37,1,14,14,14
accoes pnr oeiras cascais portugal,accoes pnr oeira cascal portugal,accoes do pnr oeiras e cascais paginaweb portugal paginaweb,34,32,59,0,14,14,17
aceitei trocar benfica jantar romantico namorada desde pagasse gasolina amanha la estarei catedral,aceitar trocar benfica jantar romantico namorar desde pagasse gasolina amanho la estarar catedral,aceitei trocar o benfica por um jantar romantico com a minha namorada desde que ela pagasse a gasolina amanha la estarei na catedral,98,97,132,0,19,19,21
aceite chifres joaquinresponde,aceite chifr joaquinresponde,aceite os chifres joaquinresponde paginaweb,30,28,43,0,17,17,20
censura democratica pior todas porque arbitraria hipocrita cobarde finge nao existir existe,censura democratica mau todo porque arbitraria hipocrita cobarde finge nao existir existir,a censura democratica e a pior delas todas porque e arbitraria hipocrita e cobarde finge nao existir mas existe paginaweb,91,90,121,0,20,20,22
acham bandido machista to entendendo logica feminista agora toda atitude bandido cometido,achar bandido machista to entender logico feminista agora todo atitude bandir cometer,acham que ser bandido e ser machista to entendendo a logica feminista agora toda atitude de bandido cometido por paginaweb,89,85,122,0,18,18,21
achei pagina,achar pagina,achei essa pagina paginaweb,12,12,27,0,9,9,12
achei cabelo branco sinto anos tintura estao chegando,achar cabelo branco sinto ano tintura estao chegar,achei um cabelo branco sinto que os anos de tintura estao chegando,53,50,66,0,16,15,18
acho engracado vcs falam mal ustra idolatram che,achar engracar vcs falar mal ustrar idolatr che,acho engracado que vcs falam mal do ustra mas idolatram che,48,47,59,0,18,18,19
acho ironico mulher ajudou nasa andar frente cadeira rodas oscars,achar ironico mulher ajudar nasa andar frente cadeiro ror oscar,acho ironico que uma mulher que ajudou a nasa a andar para a frente esteja numa cadeira de rodas oscars,65,63,103,1,17,17,19
acho mal nao metido carreira barbara guimaraes neste in memoriam oscars,achar mal nao metido carreira barbar guimaraes em este in memorer oscar,acho mal que nao tenham metido a carreira da barbara guimaraes neste in memoriam oscars,71,71,87,0,17,17,18
acho mo engracado galero tenta chamar atencao fznd piadinha burra sobre dia mulher,achar mo engracar galero tentar chamar atencao fznd piadir burra sobre dia mulher,acho mo engracado o galero que tenta chamar atencao fznd piadinha burra sobre o dia da mulher,82,81,93,0,20,20,21
acho legal feministas compartilham coisa quebrando tabu chamam outras gorda feia briga macho parabens p vc,achar legal feminista compartilhar coisa quebrar tabu chamar outro gorda feio briga macho parabem p vc,acho muito legal as feministas que compartilham coisa do quebrando o tabu e chamam as outras de gorda feia e briga por macho parabens p vc,106,102,138,1,21,21,21
acho q menina restaurante frente sapatao kkkkkk fica olhando,achar q menina restaurante frente sapatao kkkkkk ficar olhar,acho q a menina do restaurante da frente e sapatao kkkkkk fica me olhando,60,60,73,0,19,18,19
acho agora perdeu vezkkkkkkkkk,achar agora perder vezkkkkkkkkk,acho que agora ela se perdeu de vezkkkkkkkkk que do paginaweb,30,31,61,0,14,13,21
acho morango ceu so pra rsrs to sampa aqui n b vista ta nubladim meio frio,achar morango cer so pra rsrs to sampa aqui n b vista ta nubladim meio frio,acho que a morango tem um ceu so pra ela rsrs nomeusuario nomeusuario nossa eu to em sampa aqui n b vista ta nubladim e meio frio,74,75,129,0,21,21,21
acho simone depende natal pra sobreviver papai noel,achar simone depender natal pra sobreviver papai noel,acho que a simone depende mais do natal pra sobreviver que o papai noel,51,53,71,1,17,17,19
acho veja aceitou realmente nao faz jornalismo,achar ver aceitar realmente nao fazer jornalismo,acho que a veja aceitou que realmente nao faz jornalismo paginaweb,46,48,66,0,18,17,23
acho sono resolveu desaparecer junto dinheiro espero dia telos volta,achar sono resolver desaparecer junto dinheiro esperar dia telo voltar,acho que meu sono resolveu desaparecer junto com o meu dinheiro espero um dia telos de volta,68,70,92,0,17,17,19
acho vou gozar ate esefosseconsigo,achar ir gozar ate esefosseconsigo,acho que nem vou gozar mais ate esefosseconsigo,34,34,47,0,16,14,18
acho cara redacao enem deveria perder pontos pq nao ficou claro sabor miojo,achar cara redacao enem dever perder ponto pq nao ficar claro sabor miojo,acho que o cara da redacao do enem deveria perder pontos pq nao ficou claro o sabor do miojo,75,73,92,0,21,20,21
acho tatuagem colorida so fica bonito gente branca,achar tatuagem colorir so ficar bonito gente branco,acho que tatuagem colorida so fica bonito em gente muito branca,50,51,63,0,18,17,19
acho vou ai preguica dormir xerus,achar ir ai preguica dormir xerus,acho que vou ai que preguica de dormir xerus,33,33,44,0,16,15,17
acho vou pegar carona mimir,achar ir pegar caronar mimir,acho que vou pegar carona com a nomeusuario e mimir,27,28,51,0,14,12,16
acho ridiculo respeito nao homofobico,achar ridiculo respeito nao homofobico,acho ridiculo mas respeito nao sou homofobico paginaweb,37,38,55,1,18,18,20
acho argumentos ridiculos nao mudarao opiniao nao consegui refutar linha resumo,achar argumento ridiculo nao mudarao opiniao nao conseguir refutar linha resumo,acho seus argumentos ridiculos nao mudarao minha opiniao mas eu nao consegui refutar nem uma linha resumo eu paginaweb,79,79,118,0,18,18,20
cidade viseu ja preparada receber 5a feira despachemse garantir vossa presenca vai,cidade viseu ja preparar receber 5a feira despachemse garantir vosso presenca ir,a cidade de viseu ja esta preparada para nos receber na 5a feira despachemse a garantir a vossa presenca vai ser paginaweb,82,80,122,0,21,21,22
sao desde hojeos parceiros media oficiais significa conteudos exclusivos,sao desde hojeo parceiro media oficial significar conteudo exclusivo,a nomeusuario e a nomeusuario sao desde hojeos nossos parceiros de media oficiais isso significa conteudos exclusivos paginaweb,72,68,127,0,21,21,23
acima tudo vitoria esmagadora classe,acima tudo vitor esmagador classe,acima de tudo uma vitoria esmagadora da classe paginaweb,36,33,56,0,15,15,19
0841 acoespreventivas local castelo branco centro abelardoluz descricao atividade tecnica vistorias,0841 acoespreventivas local castelo branco centro abelardoluz descricao atividade tecnico vistorio,0841 acoespreventivas local castelo branco centro abelardoluz descricao atividade tecnica vistorias,99,98,99,0,21,21,21
coisa q odio vida mulher machista qnd escuto alguma falando merda fico mt abuso pq odeio gnt burra ignorante tb,coisa q odio vida mulher machista qnd escutar algum falar merda fico mt abuso pqr odeio gnt burrar ignorante tb,a coisa q mais me da odio na vida e mulher machista qnd escuto alguma falando merda fico com mt abuso pq odeio gnt burra e ignorante tb,111,111,135,1,21,21,21
comissao europeia afirmou nao hesitara aplicar sancoes contra paises recusam receber,comissao europeu afirmar nao hesitar aplicar sancoe contra paise recusar receber,a comissao europeia afirmou que nao hesitara em aplicar sancoes contra os paises que se recusam a receber paginaweb,84,80,115,0,17,17,20
acompanhe agendas sobre ideologia genero todo pais,acompanhar agenr sobre ideologia genero todo pais,acompanhe minhas agendas sobre ideologia de genero em todo pais paginaweb,50,49,73,0,17,17,18
acorda pra trabalhar ae cambada vagabundo,acordar pra trabalhar ae cambar vagabur,acorda pra trabalhar ae cambada de vagabundo,41,39,44,1,17,16,17
acordar ler noticia dessasisso nao mae monstro inversao valores deus,acordar ler noticio dessasisso nao mae monstro inversao valor deu,acordar e ler uma noticia dessasisso nao e mae e um monstro que inversao de valores meu deus paginaweb,68,65,102,0,15,15,20
quer defender amigos bandidos corruptos partido podemos aceitar ficar p v,querer defender amigo bandir corrupto partido poder aceitar ficar p v,nomeusuario quer defender os amigos bandidos e corruptos do partido como podemos aceitar isso sem ficar p da v paginaweb,73,69,120,1,19,18,20
corrida lideranca cnd obviamente armacao escolha bernie proprio nunca chance,corrida lideranca cnd obviamente armacao escolha bernie proprio nunca chancer,a corrida pela lideranca do cnd foi obviamente armacao a escolha de bernie como ele proprio nunca teve chance paginaweb,76,77,119,0,18,18,21
cota negro aumentou nesse bbb ne,cota negro aumentar em esse bbb ne,a cota de negro aumentou nesse bbb ne,32,34,37,1,13,13,14
cp recrutar revisores requisitos saber falar espanhol talvez importante contratar pessoas saibam crioulo,cp recrutar revisor requisito saber falar espanhol talvez importante contratar pessoa saibam crioulo,a cp esta a recrutar revisores e um dos requisitos e saber falar espanhol talvez fosse mais importante contratar pessoas que saibam crioulo,104,100,139,1,20,20,21
acredite quiser existe agora agefluid faz parte ideologia genero provavelmente faz parte ati,acreditar quiser existir agora agefluid fazer parte ideologio genero provavelmente fazer parte ati,acredite se quiser existe agora agefluid faz parte da ideologia de genero provavelmente que faz parte do ati paginaweb,92,98,118,0,21,21,23
prova nao importa jair nao preconceituoso apenas + 1a q enquadra moda atual difamalo,prova nao importar jair nao preconceituoso apenas + 1a q enquadra moda atual difamalo,a nomeusuario prova nao importa se jair nao e preconceituoso e apenas + 1a q se enquadra na moda atual de difamalo paginaweb,84,85,124,1,21,21,24
crimeia ocupada russia durante governo obama sera obama bonzinho russia,crimeio ocupar russia durante governo obamar sera obama bonzinho russia,a crimeia foi ocupada pela russia durante o governo obama sera que obama foi muito bonzinho com a russia paginaweb,71,71,114,1,19,19,23
actualmente retardado deitou banheira nutela joaquinresponde,actualmente retardar deitar banheira nutelo joaquinresponde,actualmente aquele retardado que deitou numa banheira de nutela joaquinresponde paginaweb,60,59,89,1,19,19,21
culpa brasil jeito ta unica exclusivamente dilma,culpa brasil jeito ta unica exclusivamente dilma,a culpa do brasil estar do jeito que ta e unica e exclusivamente da dilma,48,48,73,0,19,19,20
culpa estrelas vermelhas,culpar estrela vermelho,a culpa e das estrelas vermelhas paginaweb,24,23,42,0,13,14,19
culpa nao ter tirado antes,culpa nao ter tirar antes,a culpa e de nao ter tirado antes,26,25,33,0,14,13,14
acusacoes estupro assedio agressao podem arruinar vida homem ata,acusacoes estupro assedio agressaor poder arruinar vida homem ata,acusacoes de estupro assedio ou agressao podem arruinar a vida de um homem ata paginaweb,64,65,88,0,17,17,19
conhecimento dessa doutrinacao escolas triste realidade brasil mundo,conhecimento de esse doutrinacao escola triste realidade brasil mur,nomeusuario eu tenho conhecimento dessa doutrinacao nas escolas uma triste realidade no brasil e no mundo,68,67,105,1,16,16,16
vdd conheci ja dei block pessoa assim quero longe,vddr conheci ja dar block pessoa assim querer longe,nomeusuario vdd nem conheci mas ja dei block pessoa assim quero longe,49,51,69,0,21,21,21
ades patrocina nova versao branca neve,ade patrocina novo versao branco neve,ades patrocina nova versao da branca de neve paginaweb,38,37,54,0,14,14,16
adeus obama faca boa viagem,adeus obama faca bom viagem,adeus obama faca boa viagem paginaweb,27,27,37,0,14,14,17
adicionei video lista reproducao angola china vs eua verdade voce nao,adicionei video lista reproducao angola china vs eua verdade voce nao,adicionei um video a uma lista de reproducao do nomeusuario paginaweb angola china vs eua a verdade que voce nao,69,69,112,0,17,17,21
adicionei video playlist islao nao mim,adicionei videor playlist islao nao eu,adicionei um video a uma playlist nomeusuario paginaweb islao nao e para mim,38,38,76,1,15,16,20
diferenca vergonha cara vs vagabundo,diferenca vergonha caro vs vagabur,a diferenca de quem tem vergonha na cara vs vagabundo paginaweb,36,34,63,0,16,16,21
diferenca tribunais comissoes parlamentares nestas ultimas nao ha pobres nunca ha ninguem condenar,diferenca tribunal comissoe parlamentar em este ultima nao ha pobre nunca ha ninguir condenar,a diferenca entre os tribunais e as comissoes parlamentares e que nestas ultimas como nao ha pobres nunca ha ninguem para condenar,98,93,130,0,19,19,20
acho msm sobre vc branquelo,achar msm sobre vc branquelo,nomeusuario nomeusuario eu acho o msm sobre vc branquelo,27,28,56,1,15,15,16
branco acha racismo coitadismo so vontade continuar perfil,branco achar racismo coitadismo so vontade continuar perfil,nomeusuario nomeusuario quando branco acha que racismo e coitadismo so me da mais vontade de continuar com o perfil,58,59,115,1,19,19,20
vc quer q chame q palmito,vc querer q chame q palmito,nomeusuario nomeusuario vc quer q eu te chame de q palmito,25,27,58,0,15,15,18
adivinha esquerda demoniza esquerda apoia,adivinhar esquerda demonizar esquerdo apoia,adivinha qual a esquerda demoniza e qual a esquerda apoia paginaweb,41,43,67,0,16,16,20
adorando cerimonia so nao to entendendo monte pais subdesenvolvido estadio,adorar cerimonia so nao to entender monte pai subdesenvolver estadio,adorando essa cerimonia so nao to entendendo esses monte de pais subdesenvolvido no meu estadio,74,68,95,0,17,17,17
adoro energia daqui nao gosto lembrar vou trabalhar feriado gosto ter emprego entao ta otimo rs,adoro energia de aqui nao gosto lembrar ir trabalhar feriado gosto ter emprego entao ta otimo rs,adoro essa energia daqui nao gosto de lembrar que vou trabalhar no feriado mas gosto de ter emprego entao ta otimo rs,95,96,117,0,20,19,20
adoro frase viva loucos normais estao acabando mundo fikdik rs,adoro frase vivo louco normal estao acabar mundo fikdik rs,adoro essa frase viva os loucos os normais estao acabando com o mundo fikdik rs,62,58,79,0,18,18,18
adoro catolicos lembram biblia deus serem homofobicos so islao religiao violencia,adorar catolico lembrar biblio deu ser homofobico so islao religiao violencia,adoro estes catolicos que se lembram da biblia e deus quando e para serem homofobicos mas depois so o islao e que e religiao de violencia,81,77,137,1,19,19,21
